lambda:0.000000
randomTryTime:2
fold:1
45
40
50
50
50
30
50
50
40
50
50
45
50
50
40
40
35
35
50
35
40
35
50
50
35
45
50
45
50
50
50
40
40
50
50
45
45
50
35
50
50
50
30
40
50
35
40
40
40
40
50
40
50
45
45
45
45
45
50
50
35
50
50
50
45
35
45
30
45
40
40
30
40
25
25
45
35
45
35
30
35
20
35
50
25
35
35
50
40
20
45
15
40
50
40
45
45
40
45
40
45
45
50
30
40
40
45
35
50
40
45
25
50
35
50
25
30
50
50
40
50
35
50
35
30
30
40
50
50
50
45
30
35
40
50
40
35
25
40
40
50
40
35
35
40
45
35
20
50
50
45
50
50
45
40
45
40
50
45
35
45
50
35
25
45
40
35
45
50
50
25
45
35
50
30
35
30
20
30
35
20
45
40
15
45
15
45
45
35
35
40
45
45
40
45
35
40
45
50
20
fold:2
50
50
45
50
40
50
45
35
50
50
35
50
35
45
50
50
50
50
50
50
35
40
45
40
35
45
40
50
45
45
40
40
40
45
45
50
45
45
40
50
35
40
45
40
50
40
35
35
45
30
45
45
35
50
40
50
40
25
50
45
45
35
35
40
45
20
45
50
50
30
45
40
50
35
50
35
40
45
35
40
40
45
50
35
45
30
30
40
45
50
25
35
40
35
40
30
35
45
45
30
50
45
30
40
fold:3
50
40
50
40
30
50
45
50
45
40
50
50
45
50
45
40
45
45
50
45
50
50
45
45
45
40
45
50
40
40
50
50
45
45
45
50
45
45
35
50
35
50
35
50
50
45
40
50
35
35
40
45
35
35
50
35
40
50
35
20
40
45
40
40
40
45
50
35
40
45
45
40
45
25
40
50
30
35
35
50
40
40
30
40
50
45
50
35
45
30
40
30
40
45
35
20
50
40
45
35
40
40
40
50
40
40
50
35
40
30
50
40
40
45
50
50
45
45
45
45
30
20
45
40
45
30
50
45
35
40
45
45
50
50
50
25
50
40
40
40
50
30
45
50
35
50
30
35
40
45
45
35
45
25
45
35
50
50
45
35
45
50
30
35
45
35
45
35
35
45
50
35
25
45
40
35
45
45
35
25
45
50
40
35
25
35
45
50
40
45
35
35
35
45
45
15
25
25
50
40
fold:4
50
50
50
50
50
45
50
50
45
50
50
50
50
50
50
35
50
35
45
50
45
50
35
45
50
40
40
40
35
40
45
50
50
45
50
45
45
50
35
40
35
40
50
40
50
50
45
30
45
45
30
35
40
35
50
45
50
30
35
50
45
50
40
35
40
50
35
30
40
35
50
50
40
30
50
25
45
50
45
20
45
30
40
20
45
40
40
40
45
35
45
35
35
50
45
45
40
40
50
45
50
50
40
50
40
25
50
30
45
40
40
50
50
50
50
35
40
50
50
40
45
45
40
40
50
50
45
45
45
25
35
20
50
45
50
35
50
45
50
30
50
50
30
40
45
45
40
20
35
45
45
35
35
40
50
45
45
35
50
35
50
30
50
30
50
45
35
35
35
30
45
45
35
25
35
30
40
30
40
25
50
35
50
40
50
35
50
35
30
50
45
50
50
25
45
50
50
50
20
15
fold:5
45
50
45
40
40
45
45
50
45
50
50
35
50
45
40
35
50
50
40
50
45
45
40
45
45
50
45
45
45
45
45
40
50
50
35
50
45
50
45
50
50
45
40
45
50
40
50
45
45
40
40
35
50
45
45
50
40
25
35
40
45
20
50
40
45
40
50
30
50
40
25
40
45
40
45
40
50
45
35
35
50
25
35
45
50
30
45
45
25
35
35
45
35
35
40
40
30
15
40
50
50
45
45
35
45
50
50
45
45
50
35
40
50
50
35
40
35
40
50
50
50
50
50
50
40
35
50
50
45
45
40
30
35
45
30
40
45
45
50
35
50
50
45
40
50
50
50
30
45
50
40
30
50
45
45
30
30
35
randomTryTime:2
fold:1
45
50
40
25
40
30
45
50
50
50
45
50
40
45
40
40
45
50
35
25
50
25
45
40
40
40
45
45
50
25
50
45
40
25
45
35
50
45
50
45
50
45
50
45
50
50
50
35
30
45
40
45
50
45
fold:2
50
45
45
35
45
50
45
30
35
45
45
35
45
50
35
45
50
30
50
40
50
45
40
30
50
45
50
45
50
45
50
40
50
30
40
30
40
45
35
30
35
50
40
35
40
50
45
30
30
40
40
50
40
50
50
40
40
30
45
45
45
45
50
45
40
50
40
40
40
40
45
45
45
40
35
25
50
40
40
45
35
45
50
45
35
45
40
40
40
45
40
40
30
30
35
45
35
35
25
25
25
25
40
20
35
30
30
45
25
45
30
50
35
40
35
50
50
50
35
35
30
40
40
35
40
50
30
40
50
40
25
50
50
25
50
50
45
30
50
50
40
40
45
35
35
25
35
30
30
30
45
30
50
50
35
50
fold:3
30
50
40
35
50
45
