mu,sigma,accuracy,empError
10.000000,10.000000,0.520000,0.443556
10.000000,100.000000,0.706000,0.332667
10.000000,1000.000000,0.588000,0.401333
10.000000,10000.000000,0.506000,0.458889
100.000000,10.000000,0.506000,0.465778
100.000000,100.000000,0.532000,0.431333
100.000000,1000.000000,0.548000,0.435111
100.000000,10000.000000,0.520000,0.467778
1000.000000,10.000000,0.520000,0.467778
1000.000000,100.000000,0.518000,0.446889
1000.000000,1000.000000,0.512000,0.448667
1000.000000,10000.000000,0.520000,0.467778
10000.000000,10.000000,0.520000,0.467778
10000.000000,100.000000,0.520000,0.467778
10000.000000,1000.000000,0.520000,0.467778
10000.000000,10000.000000,0.520000,0.467778
