mu,sigma,accuracy,empError
10.000000,10.000000,0.538000,0.443778
10.000000,100.000000,0.642000,0.366667
10.000000,1000.000000,0.624000,0.386222
10.000000,10000.000000,0.576000,0.432000
100.000000,10.000000,0.512000,0.469333
100.000000,100.000000,0.594000,0.405111
100.000000,1000.000000,0.574000,0.415556
100.000000,10000.000000,0.532000,0.452889
1000.000000,10.000000,0.512000,0.470222
1000.000000,100.000000,0.582000,0.406889
1000.000000,1000.000000,0.584000,0.430889
1000.000000,10000.000000,0.512000,0.470222
10000.000000,10.000000,0.512000,0.470222
10000.000000,100.000000,0.512000,0.470222
10000.000000,1000.000000,0.512000,0.470222
10000.000000,10000.000000,0.512000,0.470222
