mu,sigma,accuracy,empError
10.000000,10.000000,0.582000,0.466889
10.000000,100.000000,0.570000,0.382222
10.000000,1000.000000,0.656000,0.338000
10.000000,10000.000000,0.602000,0.413333
100.000000,10.000000,0.582000,0.466889
100.000000,100.000000,0.520000,0.428222
100.000000,1000.000000,0.598000,0.406000
100.000000,10000.000000,0.604000,0.409556
1000.000000,10.000000,0.582000,0.466889
1000.000000,100.000000,0.496000,0.444889
1000.000000,1000.000000,0.570000,0.404889
1000.000000,10000.000000,0.602000,0.431556
10000.000000,10.000000,0.582000,0.466889
10000.000000,100.000000,0.582000,0.466889
10000.000000,1000.000000,0.594000,0.448000
10000.000000,10000.000000,0.582000,0.466889
