mu,sigma,accuracy,empError
10.000000,10.000000,0.574000,0.426000
10.000000,100.000000,0.648000,0.264444
10.000000,1000.000000,0.678000,0.366000
10.000000,10000.000000,0.574000,0.426000
100.000000,10.000000,0.574000,0.426000
100.000000,100.000000,0.574000,0.426000
100.000000,1000.000000,0.574000,0.426000
100.000000,10000.000000,0.574000,0.426000
1000.000000,10.000000,0.574000,0.426000
1000.000000,100.000000,0.574000,0.426000
1000.000000,1000.000000,0.574000,0.426000
1000.000000,10000.000000,0.574000,0.426000
10000.000000,10.000000,0.574000,0.426000
10000.000000,100.000000,0.574000,0.426000
10000.000000,1000.000000,0.574000,0.426000
10000.000000,10000.000000,0.574000,0.426000
