mu,sigma,accuracy,empError
10.000000,10.000000,0.516000,0.472889
10.000000,100.000000,0.610000,0.386444
10.000000,1000.000000,0.672000,0.356667
10.000000,10000.000000,0.516000,0.472889
100.000000,10.000000,0.516000,0.472889
100.000000,100.000000,0.516000,0.472889
100.000000,1000.000000,0.516000,0.472889
100.000000,10000.000000,0.516000,0.472889
1000.000000,10.000000,0.516000,0.472889
1000.000000,100.000000,0.516000,0.472889
1000.000000,1000.000000,0.516000,0.472889
1000.000000,10000.000000,0.516000,0.472889
10000.000000,10.000000,0.516000,0.472889
10000.000000,100.000000,0.516000,0.472889
10000.000000,1000.000000,0.516000,0.472889
10000.000000,10000.000000,0.516000,0.472889
