mu,sigma,accuracy,empError
10.000000,10.000000,0.678000,0.294222
10.000000,100.000000,0.678000,0.294222
10.000000,1000.000000,0.690000,0.283111
10.000000,10000.000000,0.678000,0.294222
100.000000,10.000000,0.678000,0.294222
100.000000,100.000000,0.678000,0.294222
100.000000,1000.000000,0.678000,0.294222
100.000000,10000.000000,0.678000,0.294222
1000.000000,10.000000,0.678000,0.294222
1000.000000,100.000000,0.678000,0.294222
1000.000000,1000.000000,0.678000,0.294222
1000.000000,10000.000000,0.678000,0.294222
10000.000000,10.000000,0.678000,0.294222
10000.000000,100.000000,0.678000,0.294222
10000.000000,1000.000000,0.678000,0.294222
10000.000000,10000.000000,0.678000,0.294222
