mu,sigma,accuracy,empError
10.000000,10.000000,0.590000,0.424444
10.000000,100.000000,0.590000,0.362667
10.000000,1000.000000,0.624000,0.361333
10.000000,10000.000000,0.608000,0.388667
100.000000,10.000000,0.590000,0.424444
100.000000,100.000000,0.600000,0.385778
100.000000,1000.000000,0.590000,0.391778
100.000000,10000.000000,0.602000,0.390667
1000.000000,10.000000,0.590000,0.424444
1000.000000,100.000000,0.590000,0.424444
1000.000000,1000.000000,0.602000,0.382889
1000.000000,10000.000000,0.606000,0.403333
10000.000000,10.000000,0.590000,0.424444
10000.000000,100.000000,0.590000,0.424444
10000.000000,1000.000000,0.590000,0.424444
10000.000000,10000.000000,0.590000,0.424444
