mu,sigma,empError,accuracy
0.001000,0.001000,0.486667,0.506000
0.001000,0.100000,0.418667,0.586000
0.001000,10.000000,0.473556,0.538000
0.001000,1000.000000,0.437778,0.548000
0.100000,0.001000,0.484444,0.510000
0.100000,0.100000,0.371556,0.648000
0.100000,10.000000,0.343778,0.698000
0.100000,1000.000000,0.498222,0.494000
10.000000,0.001000,0.498222,0.494000
10.000000,0.100000,0.395556,0.610000
10.000000,10.000000,0.446444,0.522000
10.000000,1000.000000,0.498222,0.494000
1000.000000,0.001000,0.498222,0.494000
1000.000000,0.100000,0.498222,0.494000
1000.000000,10.000000,0.498222,0.494000
1000.000000,1000.000000,0.498222,0.494000
0.100000,10.000000,0.329143,0.716000
