mu,sigma,empError,accuracy
0.001000,0.001000,0.439556,0.566000
0.001000,0.100000,0.407333,0.612000
0.001000,10.000000,0.449333,0.528000
0.001000,1000.000000,0.445111,0.566000
0.100000,0.001000,0.438444,0.566000
0.100000,0.100000,0.294222,0.678000
0.100000,10.000000,0.292667,0.676000
0.100000,1000.000000,0.445111,0.566000
10.000000,0.001000,0.445111,0.566000
10.000000,0.100000,0.355333,0.634000
10.000000,10.000000,0.445111,0.566000
10.000000,1000.000000,0.445111,0.566000
1000.000000,0.001000,0.445111,0.566000
1000.000000,0.100000,0.445111,0.566000
1000.000000,10.000000,0.445111,0.566000
1000.000000,1000.000000,0.445111,0.566000
0.100000,0.100000,0.279429,0.612000
