mu,sigma,empError,accuracy
1.000000,10.000000,0.413333,0.586000
1.000000,100.000000,0.235556,0.666000
1.000000,1000.000000,0.302889,0.718000
1.000000,10000.000000,0.418000,0.604000
1.000000,100000.000000,0.426667,0.590000
1.000000,1000000.000000,0.426667,0.590000
10.000000,10.000000,0.426667,0.590000
10.000000,100.000000,0.270444,0.630000
10.000000,1000.000000,0.334889,0.688000
10.000000,10000.000000,0.426667,0.590000
10.000000,100000.000000,0.426667,0.590000
10.000000,1000000.000000,0.426667,0.590000
100.000000,10.000000,0.426667,0.590000
100.000000,100.000000,0.426667,0.590000
100.000000,1000.000000,0.426667,0.590000
100.000000,10000.000000,0.426667,0.590000
100.000000,100000.000000,0.426667,0.590000
100.000000,1000000.000000,0.426667,0.590000
1000.000000,10.000000,0.426667,0.590000
1000.000000,100.000000,0.426667,0.590000
1000.000000,1000.000000,0.426667,0.590000
1000.000000,10000.000000,0.426667,0.590000
1000.000000,100000.000000,0.426667,0.590000
1000.000000,1000000.000000,0.426667,0.590000
10000.000000,10.000000,0.426667,0.590000
10000.000000,100.000000,0.426667,0.590000
10000.000000,1000.000000,0.426667,0.590000
10000.000000,10000.000000,0.426667,0.590000
10000.000000,100000.000000,0.426667,0.590000
10000.000000,1000000.000000,0.426667,0.590000
100000.000000,10.000000,0.426667,0.590000
100000.000000,100.000000,0.426667,0.590000
100000.000000,1000.000000,0.426667,0.590000
100000.000000,10000.000000,0.426667,0.590000
100000.000000,100000.000000,0.426667,0.590000
100000.000000,1000000.000000,0.426667,0.590000
1000000.000000,10.000000,0.426667,0.590000
1000000.000000,100.000000,0.426667,0.590000
1000000.000000,1000.000000,0.426667,0.590000
1000000.000000,10000.000000,0.426667,0.590000
1000000.000000,100000.000000,0.426667,0.590000
1000000.000000,1000000.000000,0.426667,0.590000
1000000.000000,1000000.000000,0.452444,0.532000
