mu,sigma,empError,accuracy
0.001000,0.001000,0.471778,0.522000
0.001000,0.100000,0.428222,0.602000
0.001000,10.000000,0.516667,0.502000
0.001000,1000.000000,0.439111,0.500000
0.100000,0.001000,0.474222,0.482000
0.100000,0.100000,0.324000,0.720000
0.100000,10.000000,0.326222,0.710000
0.100000,1000.000000,0.494667,0.464000
10.000000,0.001000,0.494667,0.464000
10.000000,0.100000,0.430444,0.562000
10.000000,10.000000,0.461333,0.474000
10.000000,1000.000000,0.494667,0.464000
1000.000000,0.001000,0.494667,0.464000
1000.000000,0.100000,0.494667,0.464000
1000.000000,10.000000,0.494667,0.464000
1000.000000,1000.000000,0.494667,0.464000
0.100000,0.100000,0.356857,0.564000
