mu,sigma,empError,accuracy
0.001000,0.001000,0.444667,0.572000
0.001000,0.100000,0.328444,0.684000
0.001000,10.000000,0.444667,0.554000
0.001000,1000.000000,0.308000,0.622000
0.100000,0.001000,0.444667,0.572000
0.100000,0.100000,0.228222,0.778000
0.100000,10.000000,0.176444,0.814000
0.100000,1000.000000,0.452000,0.568000
10.000000,0.001000,0.452000,0.568000
10.000000,0.100000,0.278222,0.718000
10.000000,10.000000,0.309778,0.622000
10.000000,1000.000000,0.452000,0.568000
1000.000000,0.001000,0.452000,0.568000
1000.000000,0.100000,0.452000,0.568000
1000.000000,10.000000,0.452000,0.568000
1000.000000,1000.000000,0.452000,0.568000
0.100000,10.000000,0.179714,0.772000
