mu,sigma,empError,accuracy
0.001000,0.001000,0.388621,0.670000
0.001000,0.100000,0.180690,0.670000
0.001000,10.000000,0.082414,0.840000
0.001000,1000.000000,0.370345,0.670000
0.100000,0.001000,0.388621,0.670000
0.100000,0.100000,0.080000,0.780000
0.100000,10.000000,0.082759,0.830000
0.100000,1000.000000,0.388621,0.670000
10.000000,0.001000,0.388621,0.670000
10.000000,0.100000,0.385172,0.670000
10.000000,10.000000,0.388621,0.670000
10.000000,1000.000000,0.388621,0.670000
1000.000000,0.001000,0.388621,0.670000
1000.000000,0.100000,0.388621,0.670000
1000.000000,10.000000,0.388621,0.670000
1000.000000,1000.000000,0.388621,0.670000
0.001000,10.000000,0.113778,0.874000
