mu,sigma,empError,accuracy
0.001000,0.001000,0.438222,0.604000
0.001000,0.100000,0.384000,0.594000
0.001000,10.000000,0.400444,0.550000
0.001000,1000.000000,0.441556,0.604000
0.100000,0.001000,0.438222,0.604000
0.100000,0.100000,0.281333,0.746000
0.100000,10.000000,0.251333,0.742000
0.100000,1000.000000,0.441556,0.604000
10.000000,0.001000,0.441556,0.604000
10.000000,0.100000,0.314889,0.698000
10.000000,10.000000,0.441556,0.604000
10.000000,1000.000000,0.441556,0.604000
1000.000000,0.001000,0.441556,0.604000
1000.000000,0.100000,0.441556,0.604000
1000.000000,10.000000,0.441556,0.604000
1000.000000,1000.000000,0.441556,0.604000
0.100000,0.100000,0.277143,0.680000
