mu,sigma,empError,accuracy
0.001000,0.001000,0.475778,0.536000
0.001000,0.100000,0.435333,0.602000
0.001000,10.000000,0.483778,0.530000
0.001000,1000.000000,0.488667,0.538000
0.100000,0.001000,0.475778,0.542000
0.100000,0.100000,0.314444,0.712000
0.100000,10.000000,0.336667,0.688000
0.100000,1000.000000,0.488667,0.538000
10.000000,0.001000,0.488667,0.538000
10.000000,0.100000,0.432222,0.580000
10.000000,10.000000,0.488667,0.538000
10.000000,1000.000000,0.488667,0.538000
1000.000000,0.001000,0.488667,0.538000
1000.000000,0.100000,0.488667,0.538000
1000.000000,10.000000,0.488667,0.538000
1000.000000,1000.000000,0.488667,0.538000
0.100000,0.100000,0.308286,0.648000
